Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit, Profit Value , Loss Value ,Date,Month,Quarter,Customer_Name,Product_Name,Country,Profit/Loss
Small Business,CUST_ID_075,PROD_ID_004,High,"2,294.00",250,300,"688,200.00",68820,"619,380.00","573,500.00","45,880.00"," 45,880.00 ",  ,18/06/2022,Jun,Q2,Logan Martin,VTT,England,Profit
Midmarket,CUST_ID_087,PROD_ID_004,High,"2,167.00",250,15,"32,505.00",3250.5,"29,254.50","21,670.00","7,584.50"," 7,584.50 ",  ,11/08/2022,Aug,Q3,Logan Phillips,VTT,India,Profit
Government,CUST_ID_056,PROD_ID_004,High,"1,870.00",250,350,"654,500.00",65450,"589,050.00","486,200.00","102,850.00"," 102,850.00 ",  ,23/07/2022,Jul,Q3,Amelia Perez,VTT,Japan,Profit
Channel Partners,CUST_ID_088,PROD_ID_005,High,"1,198.00",3,12,"14,376.00",1581.36,"12,794.64","3,594.00","9,200.64"," 9,200.64 ",  ,21/04/2022,Apr,Q2,Charlotte Hill,Carretera,Japan,Profit
Channel Partners,CUST_ID_025,PROD_ID_002,High,"1,198.00",10,12,"14,376.00",1581.36,"12,794.64","3,594.00","9,200.64"," 9,200.64 ",  ,26/04/2022,Apr,Q2,Alexander Perez,Paseo,USA,Profit
Channel Partners,CUST_ID_089,PROD_ID_004,High,"1,005.00",250,12,"12,060.00",1326.6,"10,733.40","3,015.00","7,718.40"," 7,718.40 ",  ,22/06/2021,Jun,Q2,Samuel Turner,VTT,USA,Profit
Midmarket,CUST_ID_090,PROD_ID_005,High,"1,560.00",3,15,"23,400.00",2574,"20,826.00","15,600.00","5,226.00"," 5,226.00 ",  ,23/01/2021,Jan,Q1,Harper Martin,Carretera,Canada,Profit
Government,CUST_ID_066,PROD_ID_005,High,"2,706.00",3,7,"18,942.00",2083.62,"16,858.38","13,530.00","3,328.38"," 3,328.38 ",  ,25/03/2022,Mar,Q1,Harper Turner,Carretera,Canada,Profit
Government,CUST_ID_037,PROD_ID_001,High,"2,992.00",5,20,"59,840.00",6582.4,"53,257.60","29,920.00","23,337.60"," 23,337.60 ",  ,30/12/2022,Dec,Q4,Henry Martinez,Montana,Germany,Profit
Government,CUST_ID_072,PROD_ID_002,High,"2,992.00",10,20,"59,840.00",6582.4,"53,257.60","29,920.00","23,337.60"," 23,337.60 ",  ,15/04/2022,Apr,Q2,Emily Hill,Paseo,Japan,Profit
Government,CUST_ID_054,PROD_ID_003,High,"2,805.00",120,20,"56,100.00",6171,"49,929.00","28,050.00","21,879.00"," 21,879.00 ",  ,09/10/2021,Oct,Q4,Harper Wilson,Velo,Italy,Profit
Midmarket,CUST_ID_091,PROD_ID_003,High,655,120,15,"9,825.00",1080.75,"8,744.25","6,550.00","2,194.25"," 2,194.25 ",  ,31/10/2021,Oct,Q4,Henry Garcia,Velo,England,Profit
Government,CUST_ID_031,PROD_ID_003,High,344,120,350,"120,400.00",13244,"107,156.00","89,440.00","17,716.00"," 17,716.00 ",  ,03/04/2022,Apr,Q2,Benjamin Lee,Velo,India,Profit
Government,CUST_ID_055,PROD_ID_004,High,"2,935.00",250,20,"58,700.00",6457,"52,243.00","29,350.00","22,893.00"," 22,893.00 ",  ,09/03/2022,Mar,Q1,Henry Turner,VTT,India,Profit
Enterprise,CUST_ID_092,PROD_ID_006,High,947,260,125,"118,375.00",13021.25,"105,353.75","113,640.00","-8,286.25",  ," 8,286.25 ",24/10/2021,Oct,Q4,Amelia Phillips,Amarilla,France,Loss
Government,CUST_ID_093,PROD_ID_006,High,344,260,350,"120,400.00",13244,"107,156.00","89,440.00","17,716.00"," 17,716.00 ",  ,03/10/2022,Oct,Q4,Jackson Hill,Amarilla,Germany,Profit
Government,CUST_ID_027,PROD_ID_002,High,380,10,7,"2,660.00",292.6,"2,367.40","1,900.00",467.4, 467.40 ,  ,30/04/2022,Apr,Q2,Michael Hill,Paseo,England,Profit
Enterprise,CUST_ID_094,PROD_ID_005,High,"2,416.00",3,125,"302,000.00",36240,"265,760.00","289,920.00","-24,160.00",  ," 24,160.00 ",11/11/2021,Nov,Q4,Abigail Martin,Carretera,Italy,Loss
Government,CUST_ID_049,PROD_ID_001,High,"1,715.00",5,20,"34,300.00",4116,"30,184.00","17,150.00","13,034.00"," 13,034.00 ",  ,12/12/2022,Dec,Q4,Elijah Perez,Montana,USA,Profit
Small Business,CUST_ID_078,PROD_ID_001,High,"1,186.00",5,300,"355,800.00",42696,"313,104.00","296,500.00","16,604.00"," 16,604.00 ",  ,17/07/2022,Jul,Q3,Harper Hill,Montana,Italy,Profit
Government,CUST_ID_040,PROD_ID_002,High,"1,715.00",10,20,"34,300.00",4116,"30,184.00","17,150.00","13,034.00"," 13,034.00 ",  ,19/10/2022,Oct,Q4,Abigail Lewis,Paseo,Japan,Profit
Midmarket,CUST_ID_044,PROD_ID_002,High,380,10,15,"5,700.00",684,"5,016.00","3,800.00","1,216.00"," 1,216.00 ",  ,17/05/2022,May,Q2,Elizabeth Martin,Paseo,France,Profit
Government,CUST_ID_055,PROD_ID_004,High,623,250,350,"218,050.00",26166,"191,884.00","161,980.00","29,904.00"," 29,904.00 ",  ,28/02/2021,Feb,Q1,Henry Turner,VTT,India,Profit
Midmarket,CUST_ID_046,PROD_ID_006,High,"2,548.00",260,15,"38,220.00",4586.4,"33,633.60","25,480.00","8,153.60"," 8,153.60 ",  ,16/12/2021,Dec,Q4,Avery Anderson,Amarilla,Italy,Profit
Channel Partners,CUST_ID_095,PROD_ID_006,High,"2,761.00",260,12,"33,132.00",3975.84,"29,156.16","8,283.00","20,873.16"," 20,873.16 ",  ,07/01/2021,Jan,Q1,Aiden Garcia,Amarilla,India,Profit
Government,CUST_ID_048,PROD_ID_005,High,442,3,20,"8,840.00",1149.2,"7,690.80","4,420.00","3,270.80"," 3,270.80 ",  ,22/03/2021,Mar,Q1,Sofia Turner,Carretera,Japan,Profit
Midmarket,CUST_ID_096,PROD_ID_003,High,660,120,15,"9,900.00",1287,"8,613.00","6,600.00","2,013.00"," 2,013.00 ",  ,04/07/2022,Jul,Q3,Emily Phillips,Velo,Japan,Profit
Small Business,CUST_ID_097,PROD_ID_003,High,"2,605.00",120,300,"781,500.00",101595,"679,905.00","651,250.00","28,655.00"," 28,655.00 ",  ,21/08/2022,Aug,Q3,Benjamin Hill,Velo,USA,Profit
Channel Partners,CUST_ID_098,PROD_ID_006,High,"1,770.00",260,12,"21,240.00",2761.2,"18,478.80","5,310.00","13,168.80"," 13,168.80 ",  ,21/01/2021,Jan,Q1,Mia Turner,Amarilla,Canada,Profit
Government,CUST_ID_057,PROD_ID_005,High,"2,996.00",3,7,"20,972.00",2936.08,"18,035.92","14,980.00","3,055.92"," 3,055.92 ",  ,04/06/2021,Jun,Q2,Jackson Hill,Carretera,USA,Profit
Government,CUST_ID_099,PROD_ID_001,High,"2,996.00",5,7,"20,972.00",2936.08,"18,035.92","14,980.00","3,055.92"," 3,055.92 ",  ,06/03/2022,Mar,Q1,Logan Martin,Montana,England,Profit
Channel Partners,CUST_ID_018,PROD_ID_006,High,"2,015.00",260,12,"24,180.00",3385.2,"20,794.80","6,045.00","14,749.80"," 14,749.80 ",  ,07/08/2022,Aug,Q3,Amelia Garcia,Amarilla,Canada,Profit
Enterprise,CUST_ID_085,PROD_ID_005,High,"1,023.00",3,125,"127,875.00",17902.5,"109,972.50","122,760.00","-12,787.50",  ," 12,787.50 ",28/03/2021,Mar,Q1,Benjamin Garcia,Carretera,Germany,Loss
Enterprise,CUST_ID_100,PROD_ID_005,High,"2,821.00",3,125,"352,625.00",49367.5,"303,257.50","338,520.00","-35,262.50",  ," 35,262.50 ",08/07/2022,Jul,Q3,Charlotte Garcia,Carretera,France,Loss
Government,CUST_ID_049,PROD_ID_001,High,"1,727.00",5,7,"12,089.00",1692.46,"10,396.54","8,635.00","1,761.54"," 1,761.54 ",  ,16/11/2021,Nov,Q4,Elijah Perez,Montana,USA,Profit
Midmarket,CUST_ID_006,PROD_ID_002,High,"2,470.00",10,15,"37,050.00",5187,"31,863.00","24,700.00","7,163.00"," 7,163.00 ",  ,01/04/2021,Apr,Q2,Ava Davis,Paseo,Italy,Profit
Midmarket,CUST_ID_006,PROD_ID_002,High,"1,743.00",10,15,"26,145.00",3660.3,"22,484.70","17,430.00","5,054.70"," 5,054.70 ",  ,22/04/2022,Apr,Q2,Ava Davis,Paseo,Italy,Profit
Channel Partners,CUST_ID_060,PROD_ID_002,High,"2,222.00",10,12,"26,664.00",3732.96,"22,931.04","6,666.00","16,265.04"," 16,265.04 ",  ,01/05/2021,May,Q2,Emily Garcia,Paseo,France,Profit
Government,CUST_ID_052,PROD_ID_002,High,"1,922.00",10,350,"672,700.00",94178,"578,522.00","499,720.00","78,802.00"," 78,802.00 ",  ,19/06/2022,Jun,Q2,Charlotte Martin,Paseo,France,Profit
Small Business,CUST_ID_101,PROD_ID_003,High,269,120,300,"80,700.00",11298,"69,402.00","67,250.00","2,152.00"," 2,152.00 ",  ,08/01/2022,Jan,Q1,Samuel Hill,Velo,Germany,Profit
Small Business,CUST_ID_102,PROD_ID_003,High,"2,536.00",120,300,"760,800.00",106512,"654,288.00","634,000.00","20,288.00"," 20,288.00 ",  ,03/09/2022,Sep,Q3,Harper Phillips,Velo,Italy,Profit
Small Business,CUST_ID_063,PROD_ID_004,High,269,250,300,"80,700.00",11298,"69,402.00","67,250.00","2,152.00"," 2,152.00 ",  ,19/10/2022,Oct,Q4,Logan Clark,VTT,India,Profit
Government,CUST_ID_008,PROD_ID_004,High,"1,281.00",250,350,"448,350.00",62769,"385,581.00","333,060.00","52,521.00"," 52,521.00 ",  ,19/01/2022,Jan,Q1,Isabella Wilson,VTT,Japan,Profit
Midmarket,CUST_ID_103,PROD_ID_006,High,"1,743.00",260,15,"26,145.00",3660.3,"22,484.70","17,430.00","5,054.70"," 5,054.70 ",  ,07/10/2021,Oct,Q4,Henry Martin,Amarilla,India,Profit
Government,CUST_ID_093,PROD_ID_006,High,"1,727.00",260,7,"12,089.00",1692.46,"10,396.54","8,635.00","1,761.54"," 1,761.54 ",  ,30/11/2022,Nov,Q4,Jackson Hill,Amarilla,Germany,Profit
Midmarket,CUST_ID_104,PROD_ID_006,High,"1,870.00",260,15,"28,050.00",3927,"24,123.00","18,700.00","5,423.00"," 5,423.00 ",  ,21/11/2021,Nov,Q4,Amelia Hill,Amarilla,Japan,Profit
Government,CUST_ID_027,PROD_ID_002,High,267,10,20,"5,340.00",801,"4,539.00","2,670.00","1,869.00"," 1,869.00 ",  ,21/03/2021,Mar,Q1,Michael Hill,Paseo,England,Profit
Government,CUST_ID_027,PROD_ID_002,High,"2,007.00",10,350,"702,450.00",105367.5,"597,082.50","521,820.00","75,262.50"," 75,262.50 ",  ,02/09/2022,Sep,Q3,Michael Hill,Paseo,England,Profit
Government,CUST_ID_040,PROD_ID_002,High,"2,151.00",10,350,"752,850.00",112927.5,"639,922.50","559,260.00","80,662.50"," 80,662.50 ",  ,01/02/2021,Feb,Q1,Abigail Lewis,Paseo,Japan,Profit
Small Business,CUST_ID_086,PROD_ID_003,High,"2,574.00",120,300,"772,200.00",115830,"656,370.00","643,500.00","12,870.00"," 12,870.00 ",  ,13/06/2022,Jun,Q2,Mia Hill,Velo,Italy,Profit
Enterprise,CUST_ID_015,PROD_ID_003,High,"2,438.00",120,125,"304,750.00",45712.5,"259,037.50","292,560.00","-33,522.50",  ," 33,522.50 ",02/03/2021,Mar,Q1,Samuel Taylor,Velo,India,Loss
Government,CUST_ID_033,PROD_ID_004,High,267,250,20,"5,340.00",801,"4,539.00","2,670.00","1,869.00"," 1,869.00 ",  ,27/10/2021,Oct,Q4,Logan Garcia,VTT,USA,Profit
Enterprise,CUST_ID_105,PROD_ID_004,High,"2,954.00",250,125,"369,250.00",55387.5,"313,862.50","354,480.00","-40,617.50",  ," 40,617.50 ",22/02/2021,Feb,Q1,Jackson Turner,VTT,USA,Loss
Government,CUST_ID_042,PROD_ID_005,None,"1,618.50",3,20,"32,370.00",0,"32,370.00","16,185.00","16,185.00"," 16,185.00 ",  ,02/03/2021,Mar,Q1,Emily Garcia,Carretera,Canada,Profit
Government,CUST_ID_048,PROD_ID_005,None,"1,321.00",3,20,"26,420.00",0,"26,420.00","13,210.00","13,210.00"," 13,210.00 ",  ,08/03/2021,Mar,Q1,Sofia Turner,Carretera,Japan,Profit
Midmarket,CUST_ID_106,PROD_ID_005,None,"2,178.00",3,15,"32,670.00",0,"32,670.00","21,780.00","10,890.00"," 10,890.00 ",  ,08/11/2022,Nov,Q4,Abigail Phillips,Carretera,Canada,Profit
Midmarket,CUST_ID_107,PROD_ID_005,None,888,3,15,"13,320.00",0,"13,320.00","8,880.00","4,440.00"," 4,440.00 ",  ,18/05/2021,May,Q2,Aiden Hill,Carretera,England,Profit
Midmarket,CUST_ID_108,PROD_ID_005,None,"2,470.00",3,15,"37,050.00",0,"37,050.00","24,700.00","12,350.00"," 12,350.00 ",  ,16/09/2022,Sep,Q3,Emily Martin,Carretera,France,Profit
Government,CUST_ID_048,PROD_ID_005,None,"1,513.00",3,350,"529,550.00",0,"529,550.00","393,380.00","136,170.00"," 136,170.00 ",  ,11/01/2022,Jan,Q1,Sofia Turner,Carretera,Japan,Profit
Midmarket,CUST_ID_109,PROD_ID_001,None,921,5,15,"13,815.00",0,"13,815.00","9,210.00","4,605.00"," 4,605.00 ",  ,23/10/2022,Oct,Q4,Benjamin Garcia,Montana,Germany,Profit
Channel Partners,CUST_ID_110,PROD_ID_001,None,"2,518.00",5,12,"30,216.00",0,"30,216.00","7,554.00","22,662.00"," 22,662.00 ",  ,24/10/2021,Oct,Q4,Mia Hill,Montana,Italy,Profit
Government,CUST_ID_059,PROD_ID_001,None,"1,899.00",5,20,"37,980.00",0,"37,980.00","18,990.00","18,990.00"," 18,990.00 ",  ,02/01/2022,Jan,Q1,Aiden Martin,Montana,England,Profit
Channel Partners,CUST_ID_111,PROD_ID_001,None,"1,545.00",5,12,"18,540.00",0,"18,540.00","4,635.00","13,905.00"," 13,905.00 ",  ,14/03/2021,Mar,Q1,Logan Phillips,Montana,India,Profit
Midmarket,CUST_ID_112,PROD_ID_001,None,"2,470.00",5,15,"37,050.00",0,"37,050.00","24,700.00","12,350.00"," 12,350.00 ",  ,29/07/2021,Jul,Q3,Charlotte Hill,Montana,Japan,Profit
Enterprise,CUST_ID_001,PROD_ID_001,None,"2,665.50",5,125,"333,187.50",0,"333,187.50","319,860.00","13,327.50"," 13,327.50 ",  ,25/02/2022,Feb,Q1,James Smith,Montana,USA,Profit
Small Business,CUST_ID_050,PROD_ID_001,None,958,5,300,"287,400.00",0,"287,400.00","239,500.00","47,900.00"," 47,900.00 ",  ,13/02/2022,Feb,Q1,Mia Hill,Montana,Canada,Profit
Government,CUST_ID_037,PROD_ID_001,None,"2,146.00",5,7,"15,022.00",0,"15,022.00","10,730.00","4,292.00"," 4,292.00 ",  ,25/01/2022,Jan,Q1,Henry Martinez,Montana,Germany,Profit
Midmarket,CUST_ID_113,PROD_ID_001,None,615,5,15,"9,225.00",0,"9,225.00","6,150.00","3,075.00"," 3,075.00 ",  ,09/03/2021,Mar,Q1,Samuel Turner,Montana,USA,Profit
Government,CUST_ID_004,PROD_ID_002,None,292,10,20,"5,840.00",0,"5,840.00","2,920.00","2,920.00"," 2,920.00 ",  ,30/04/2021,Apr,Q2,Olivia Brown,Paseo,France,Profit
Midmarket,CUST_ID_044,PROD_ID_002,None,974,10,15,"14,610.00",0,"14,610.00","9,740.00","4,870.00"," 4,870.00 ",  ,04/04/2022,Apr,Q2,Elizabeth Martin,Paseo,France,Profit
Channel Partners,CUST_ID_060,PROD_ID_002,None,"2,518.00",10,12,"30,216.00",0,"30,216.00","7,554.00","22,662.00"," 22,662.00 ",  ,04/11/2022,Nov,Q4,Emily Garcia,Paseo,France,Profit
Government,CUST_ID_072,PROD_ID_002,None,"1,006.00",10,350,"352,100.00",0,"352,100.00","261,560.00","90,540.00"," 90,540.00 ",  ,20/07/2022,Jul,Q3,Emily Hill,Paseo,Japan,Profit
Channel Partners,CUST_ID_014,PROD_ID_002,None,367,10,12,"4,404.00",0,"4,404.00","1,101.00","3,303.00"," 3,303.00 ",  ,24/05/2021,May,Q2,Charlotte White,Paseo,Italy,Profit
Government,CUST_ID_040,PROD_ID_002,None,883,10,7,"6,181.00",0,"6,181.00","4,415.00","1,766.00"," 1,766.00 ",  ,29/08/2021,Aug,Q3,Abigail Lewis,Paseo,Japan,Profit
Midmarket,CUST_ID_044,PROD_ID_002,None,"2,472.00",10,15,"37,080.00",0,"37,080.00","24,720.00","12,360.00"," 12,360.00 ",  ,27/02/2021,Feb,Q1,Elizabeth Martin,Paseo,France,Profit
Government,CUST_ID_027,PROD_ID_002,None,"1,143.00",10,7,"8,001.00",0,"8,001.00","5,715.00","2,286.00"," 2,286.00 ",  ,10/11/2022,Nov,Q4,Michael Hill,Paseo,England,Profit
Government,CUST_ID_004,PROD_ID_002,None,"1,817.00",10,20,"36,340.00",0,"36,340.00","18,170.00","18,170.00"," 18,170.00 ",  ,18/01/2022,Jan,Q1,Olivia Brown,Paseo,France,Profit
Government,CUST_ID_072,PROD_ID_002,None,"1,513.00",10,350,"529,550.00",0,"529,550.00","393,380.00","136,170.00"," 136,170.00 ",  ,11/02/2022,Feb,Q1,Emily Hill,Paseo,Japan,Profit
Government,CUST_ID_031,PROD_ID_003,None,"1,493.00",120,7,"10,451.00",0,"10,451.00","7,465.00","2,986.00"," 2,986.00 ",  ,04/03/2022,Mar,Q1,Benjamin Lee,Velo,India,Profit
Enterprise,CUST_ID_053,PROD_ID_003,None,"1,804.00",120,125,"225,500.00",0,"225,500.00","216,480.00","9,020.00"," 9,020.00 ",  ,28/06/2022,Jun,Q2,Samuel Hill,Velo,Germany,Profit
Channel Partners,CUST_ID_114,PROD_ID_003,None,"2,161.00",120,12,"25,932.00",0,"25,932.00","6,483.00","19,449.00"," 19,449.00 ",  ,19/08/2021,Aug,Q3,Harper Martin,Velo,Canada,Profit
Government,CUST_ID_028,PROD_ID_003,None,"1,006.00",120,350,"352,100.00",0,"352,100.00","261,560.00","90,540.00"," 90,540.00 ",  ,04/10/2022,Oct,Q4,Sofia Phillips,Velo,France,Profit
Channel Partners,CUST_ID_114,PROD_ID_003,None,"1,545.00",120,12,"18,540.00",0,"18,540.00","4,635.00","13,905.00"," 13,905.00 ",  ,04/08/2022,Aug,Q3,Harper Martin,Velo,Canada,Profit
Enterprise,CUST_ID_015,PROD_ID_003,None,"2,821.00",120,125,"352,625.00",0,"352,625.00","338,520.00","14,105.00"," 14,105.00 ",  ,19/08/2022,Aug,Q3,Samuel Taylor,Velo,India,Profit
Small Business,CUST_ID_063,PROD_ID_004,None,"2,001.00",250,300,"600,300.00",0,"600,300.00","500,250.00","100,050.00"," 100,050.00 ",  ,26/03/2022,Mar,Q1,Logan Clark,VTT,India,Profit
Channel Partners,CUST_ID_067,PROD_ID_004,None,"2,838.00",250,12,"34,056.00",0,"34,056.00","8,514.00","25,542.00"," 25,542.00 ",  ,03/07/2022,Jul,Q3,Henry Phillips,VTT,England,Profit
Midmarket,CUST_ID_087,PROD_ID_004,None,"2,178.00",250,15,"32,670.00",0,"32,670.00","21,780.00","10,890.00"," 10,890.00 ",  ,24/07/2021,Jul,Q3,Logan Phillips,VTT,India,Profit
Midmarket,CUST_ID_039,PROD_ID_004,None,888,250,15,"13,320.00",0,"13,320.00","8,880.00","4,440.00"," 4,440.00 ",  ,03/02/2021,Feb,Q1,Jackson Turner,VTT,India,Profit
Small Business,CUST_ID_062,PROD_ID_004,None,"2,151.00",250,300,"645,300.00",0,"645,300.00","537,750.00","107,550.00"," 107,550.00 ",  ,23/05/2021,May,Q2,Mia Lewis,VTT,Italy,Profit
Government,CUST_ID_055,PROD_ID_004,None,"1,817.00",250,20,"36,340.00",0,"36,340.00","18,170.00","18,170.00"," 18,170.00 ",  ,15/12/2022,Dec,Q4,Henry Turner,VTT,India,Profit
Government,CUST_ID_065,PROD_ID_006,None,"2,750.00",260,350,"962,500.00",0,"962,500.00","715,000.00","247,500.00"," 247,500.00 ",  ,23/08/2021,Aug,Q3,Samuel Wilson,Amarilla,USA,Profit
Channel Partners,CUST_ID_018,PROD_ID_006,None,"1,953.00",260,12,"23,436.00",0,"23,436.00","5,859.00","17,577.00"," 17,577.00 ",  ,13/10/2021,Oct,Q4,Amelia Garcia,Amarilla,Canada,Profit
Enterprise,CUST_ID_073,PROD_ID_006,None,"4,219.50",260,125,"527,437.50",0,"527,437.50","506,340.00","21,097.50"," 21,097.50 ",  ,20/02/2022,Feb,Q1,Benjamin Phillips,Amarilla,USA,Profit
Government,CUST_ID_065,PROD_ID_006,None,"1,899.00",260,20,"37,980.00",0,"37,980.00","18,990.00","18,990.00"," 18,990.00 ",  ,03/07/2022,Jul,Q3,Samuel Wilson,Amarilla,USA,Profit
Government,CUST_ID_035,PROD_ID_006,None,"1,686.00",260,7,"11,802.00",0,"11,802.00","8,430.00","3,372.00"," 3,372.00 ",  ,14/09/2022,Sep,Q3,Samuel Johnson,Amarilla,England,Profit
Channel Partners,CUST_ID_018,PROD_ID_006,None,"2,141.00",260,12,"25,692.00",0,"25,692.00","6,423.00","19,269.00"," 19,269.00 ",  ,15/11/2021,Nov,Q4,Amelia Garcia,Amarilla,Canada,Profit
Government,CUST_ID_064,PROD_ID_006,None,"1,143.00",260,7,"8,001.00",0,"8,001.00","5,715.00","2,286.00"," 2,286.00 ",  ,23/04/2022,Apr,Q2,Charlotte Anderson,Amarilla,Japan,Profit
Midmarket,CUST_ID_046,PROD_ID_006,None,615,260,15,"9,225.00",0,"9,225.00","6,150.00","3,075.00"," 3,075.00 ",  ,26/12/2021,Dec,Q4,Avery Anderson,Amarilla,Italy,Profit
Government,CUST_ID_052,PROD_ID_002,Low,"3,945.00",10,7,"27,615.00",276.15,"27,338.85","19,725.00","7,613.85"," 7,613.85 ",  ,23/09/2021,Sep,Q3,Charlotte Martin,Paseo,France,Profit
Midmarket,CUST_ID_002,PROD_ID_002,Low,"2,296.00",10,15,"34,440.00",344.4,"34,095.60","22,960.00","11,135.60"," 11,135.60 ",  ,16/12/2021,Dec,Q4,Emma Johnson,Paseo,Canada,Profit
Government,CUST_ID_052,PROD_ID_002,Low,"1,030.00",10,7,"7,210.00",72.1,"7,137.90","5,150.00","1,987.90"," 1,987.90 ",  ,12/08/2022,Aug,Q3,Charlotte Martin,Paseo,France,Profit
Government,CUST_ID_054,PROD_ID_003,Low,639,120,7,"4,473.00",44.73,"4,428.27","3,195.00","1,233.27"," 1,233.27 ",  ,31/10/2021,Oct,Q4,Harper Wilson,Velo,Italy,Profit
Government,CUST_ID_055,PROD_ID_004,Low,"1,326.00",250,7,"9,282.00",92.82,"9,189.18","6,630.00","2,559.18"," 2,559.18 ",  ,19/03/2022,Mar,Q1,Henry Turner,VTT,India,Profit
Channel Partners,CUST_ID_084,PROD_ID_005,Low,"1,858.00",3,12,"22,296.00",222.96,"22,073.04","5,574.00","16,499.04"," 16,499.04 ",  ,07/09/2022,Sep,Q3,Emily Martin,Carretera,France,Profit
Government,CUST_ID_066,PROD_ID_005,Low,"1,210.00",3,350,"423,500.00",4235,"419,265.00","314,600.00","104,665.00"," 104,665.00 ",  ,27/06/2021,Jun,Q2,Harper Turner,Carretera,Canada,Profit
Government,CUST_ID_057,PROD_ID_005,Low,"2,529.00",3,7,"17,703.00",177.03,"17,525.97","12,645.00","4,880.97"," 4,880.97 ",  ,20/08/2021,Aug,Q3,Jackson Hill,Carretera,USA,Profit
Channel Partners,CUST_ID_036,PROD_ID_005,Low,"1,445.00",3,12,"17,340.00",173.4,"17,166.60","4,335.00","12,831.60"," 12,831.60 ",  ,10/08/2021,Aug,Q3,Harper Anderson,Carretera,France,Profit
Channel Partners,CUST_ID_088,PROD_ID_005,Low,"2,671.00",3,12,"32,052.00",320.52,"31,731.48","8,013.00","23,718.48"," 23,718.48 ",  ,10/12/2022,Dec,Q4,Charlotte Hill,Carretera,Japan,Profit
Government,CUST_ID_066,PROD_ID_005,Low,"1,397.00",3,350,"488,950.00",4889.5,"484,060.50","363,220.00","120,840.50"," 120,840.50 ",  ,03/08/2021,Aug,Q3,Harper Turner,Carretera,Canada,Profit
Government,CUST_ID_021,PROD_ID_005,Low,"2,155.00",3,350,"754,250.00",7542.5,"746,707.50","560,300.00","186,407.50"," 186,407.50 ",  ,06/04/2021,Apr,Q2,Aiden Lewis,Carretera,Germany,Profit
Midmarket,CUST_ID_112,PROD_ID_001,Low,"2,214.00",5,15,"33,210.00",332.1,"32,877.90","22,140.00","10,737.90"," 10,737.90 ",  ,15/01/2021,Jan,Q1,Charlotte Hill,Montana,Japan,Profit
Small Business,CUST_ID_012,PROD_ID_001,Low,"2,301.00",5,300,"690,300.00",6903,"683,397.00","575,250.00","108,147.00"," 108,147.00 ",  ,28/11/2021,Nov,Q4,Mia Thomas,Montana,France,Profit
Government,CUST_ID_059,PROD_ID_001,Low,"1,375.50",5,20,"27,510.00",275.1,"27,234.90","13,755.00","13,479.90"," 13,479.90 ",  ,21/11/2022,Nov,Q4,Aiden Martin,Montana,England,Profit
Government,CUST_ID_043,PROD_ID_001,Low,"1,830.00",5,7,"12,810.00",128.1,"12,681.90","9,150.00","3,531.90"," 3,531.90 ",  ,07/08/2021,Aug,Q3,Sebastian Phillips,Montana,England,Profit
Midmarket,CUST_ID_026,PROD_ID_002,Low,"1,514.00",10,15,"22,710.00",227.1,"22,482.90","15,140.00","7,342.90"," 7,342.90 ",  ,07/09/2022,Sep,Q3,Avery Turner,Paseo,Canada,Profit
Government,CUST_ID_027,PROD_ID_002,Low,"4,492.50",10,7,"31,447.50",314.475,"31,133.03","22,462.50","8,670.53"," 8,670.53 ",  ,17/02/2021,Feb,Q1,Michael Hill,Paseo,England,Profit
Enterprise,CUST_ID_115,PROD_ID_002,Low,727,10,125,"90,875.00",908.75,"89,966.25","87,240.00","2,726.25"," 2,726.25 ",  ,05/03/2022,Mar,Q1,Henry Garcia,Paseo,England,Profit
Enterprise,CUST_ID_051,PROD_ID_002,Low,787,10,125,"98,375.00",983.75,"97,391.25","94,440.00","2,951.25"," 2,951.25 ",  ,24/06/2021,Jun,Q2,Logan Phillips,Paseo,England,Profit
Enterprise,CUST_ID_024,PROD_ID_002,Low,"1,823.00",10,125,"227,875.00",2278.75,"225,596.25","218,760.00","6,836.25"," 6,836.25 ",  ,30/11/2022,Nov,Q4,Elizabeth Green,Paseo,Japan,Profit
Midmarket,CUST_ID_038,PROD_ID_002,Low,747,10,15,"11,205.00",112.05,"11,092.95","7,470.00","3,622.95"," 3,622.95 ",  ,08/06/2021,Jun,Q2,Amelia Wilson,Paseo,Italy,Profit
Small Business,CUST_ID_116,PROD_ID_002,Low,"2,905.00",10,300,"871,500.00",8715,"862,785.00","726,250.00","136,535.00"," 136,535.00 ",  ,17/01/2022,Jan,Q1,Amelia Phillips,Paseo,France,Profit
Government,CUST_ID_052,PROD_ID_002,Low,"2,155.00",10,350,"754,250.00",7542.5,"746,707.50","560,300.00","186,407.50"," 186,407.50 ",  ,04/08/2022,Aug,Q3,Charlotte Martin,Paseo,France,Profit
Government,CUST_ID_054,PROD_ID_003,Low,"3,864.00",120,20,"77,280.00",772.8,"76,507.20","38,640.00","37,867.20"," 37,867.20 ",  ,13/10/2021,Oct,Q4,Harper Wilson,Velo,Italy,Profit
Government,CUST_ID_031,PROD_ID_003,Low,362,120,7,"2,534.00",25.34,"2,508.66","1,810.00",698.66, 698.66 ,  ,01/11/2022,Nov,Q4,Benjamin Lee,Velo,India,Profit
